date,time,sport,channel,comp,ht,at
2025-06-15,6:10PM,Football,DAZN 1 France,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,FPT TV VNM,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,Pro TV Romania,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,televen,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,VOYO,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,6:50PM,Football,ESPN Brasil,Brazilian Serie B,Novorizontino,Cuiaba
2025-06-15,7:30PM,Football,DAZN Brasil,Brazilian Serie C,Londrina EC,Figueirense
2025-06-15,8:00PM,Football,Fanatiz INT,Chile Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,Fox Deportes,Chile Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,FuboTV,Chile Primera Division,Ayacucho FC,Universitario
2025-06-15,6:00PM,Football,FuboTV,Chile Primera Division,CA River Plate,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Chile Primera Division,Club River Plate Asunción,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Chile Primera Division,River Plate,Peñarol
2025-06-15,4:00PM,Football,Fanatiz INT,Chile Primera Division,Sporting Cristal,Deportivo Garcilaso
2025-06-15,11:15PM,Football,FuboTV,Colombia Categoría Primera A,Independiente Medellín,Deportes Tolima
2025-06-15,11:15PM,Football,RCN Nuestra Tele,Colombia Categoría Primera A,Independiente Medellín,Deportes Tolima
2025-06-15,11:15PM,Football,Win Sports CO,Colombia Categoría Primera A,Independiente Medellín,Deportes Tolima
2025-06-15,8:00PM,Football,Fanatiz INT,Paraguayan Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,Fox Deportes,Paraguayan Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,FuboTV,Paraguayan Primera Division,Ayacucho FC,Universitario
2025-06-15,6:00PM,Football,FuboTV,Paraguayan Primera Division,CA River Plate,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Paraguayan Primera Division,Club River Plate Asunción,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Paraguayan Primera Division,River Plate,Peñarol
2025-06-15,4:00PM,Football,Fanatiz INT,Paraguayan Primera Division,Sporting Cristal,Deportivo Garcilaso
2025-06-15,8:00PM,Football,Fanatiz INT,Peruvian Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,Fox Deportes,Peruvian Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,FuboTV,Peruvian Primera Division,Ayacucho FC,Universitario
2025-06-15,6:00PM,Football,FuboTV,Peruvian Primera Division,CA River Plate,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Peruvian Primera Division,Club River Plate Asunción,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Peruvian Primera Division,River Plate,Peñarol
2025-06-15,4:00PM,Football,Fanatiz INT,Peruvian Primera Division,Sporting Cristal,Deportivo Garcilaso
2025-06-15,8:00PM,Football,Fanatiz INT,Uruguayan Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,Fox Deportes,Uruguayan Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,FuboTV,Uruguayan Primera Division,Ayacucho FC,Universitario
2025-06-15,6:00PM,Football,FuboTV,Uruguayan Primera Division,CA River Plate,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Uruguayan Primera Division,Club River Plate Asunción,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Uruguayan Primera Division,River Plate,Peñarol
2025-06-15,4:00PM,Football,Fanatiz INT,Uruguayan Primera Division,Sporting Cristal,Deportivo Garcilaso
2025-06-15,8:00PM,Football,Fanatiz INT,Venezuela Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,Fox Deportes,Venezuela Primera Division,Ayacucho FC,Universitario
2025-06-15,8:00PM,Football,FuboTV,Venezuela Primera Division,Ayacucho FC,Universitario
2025-06-15,6:00PM,Football,FuboTV,Venezuela Primera Division,CA River Plate,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Venezuela Primera Division,Club River Plate Asunción,Peñarol
2025-06-15,6:00PM,Football,FuboTV,Venezuela Primera Division,River Plate,Peñarol
2025-06-15,4:00PM,Football,Fanatiz INT,Venezuela Primera Division,Sporting Cristal,Deportivo Garcilaso
2025-06-16,1:20AM,Football,RCN Nuestra Tele,Colombia Categoría Primera A,Atlético Junior,América de Cali
2025-06-17,12:00AM,Football,Win Sports CO,Colombia Categoría Primera A,Atlético Nacional,Millonarios
2025-06-17,12:00AM,Football,Win Sports CO,Colombia Categoría Primera A,Atlético Nacional,Millonarios F.C.
2025-06-19,12:00AM,Football,Fanatiz INT,Chile Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fox Deportes,Chile Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Paraguayan Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fox Deportes,Paraguayan Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Peruvian Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fox Deportes,Peruvian Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Uruguayan Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fox Deportes,Uruguayan Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Venezuela Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fox Deportes,Venezuela Primera Division,Comerciantes Unidos,Alianza Lima
